variable x	variable x count			lockin1 x	lockin1 y	lockin1 r	lockin1 phi	smu1 meas	


1.968	242			1.26195e-06	-4.83126e-08	1.26288e-06	-2.19	-2.162779e-11
1.972	243			-3.26547e-07	-3.50063e-07	4.78471e-07	-133.008	-2.20047e-11
1.976	244			1.8708e-07	3.86268e-07	4.29225e-07	64.152	-2.007813e-11
1.98	245			-6.22827e-08	-4.27595e-07	4.32019e-07	-98.274	-2.187906e-11
1.984	246			-5.63452e-08	-1.02889e-06	1.0304e-06	-93.132	-2.250728e-11
1.988	247			-7.47391e-08	9.16891e-07	9.19918e-07	94.656	-1.882169e-11
1.992	248			-3.7905e-07	-1.22819e-07	3.98375e-07	-162.054	-2.393127e-11
1.996	249			3.90226e-07	-1.79281e-07	4.29342e-07	-24.666	-1.831912e-11
2.0	250			3.17117e-07	-3.68806e-07	4.8627e-07	-49.296	-2.08739e-11
2.004	251			6.01405e-07	-6.71953e-07	9.0164e-07	-48.168	-2.091577e-11
2.008	252			2.31318e-07	3.11762e-07	3.88247e-07	53.43	-2.125085e-11
2.012	253			-5.44595e-07	1.67639e-08	5.44711e-07	178.224	-2.233976e-11
2.016	254			5.84991e-07	4.41216e-07	7.32722e-07	37.026	-2.024568e-11
2.02	255			7.60545e-07	3.87199e-07	8.53444e-07	26.988	-2.007819e-11
2.024	256			9.47625e-08	-9.38893e-07	9.4355e-07	-84.228	-2.259109e-11
2.028	257			1.08057e-06	9.8686e-07	1.46346e-06	42.402	-2.154397e-11
2.032	258			1.22714e-06	6.8569e-07	1.40572e-06	29.196	-2.070637e-11
2.036	259			-5.78006e-07	5.91161e-07	8.26669e-07	134.346	-2.330296e-11
2.04	260			7.75912e-07	-3.71949e-07	8.60429e-07	-25.602	-2.05807e-11
2.044	261			-2.10829e-07	2.03961e-07	2.93252e-07	135.918	-1.739769e-11
2.048	262			-2.57396e-07	-3.3586e-07	4.23055e-07	-127.47	-2.129271e-11
2.052	263			-3.77071e-07	-7.04317e-08	3.8359e-07	-169.416	-2.284231e-11
2.056	264			-5.62581e-07	-1.28232e-07	5.76958e-07	-167.166	-2.066447e-11
2.06	265			-5.04489e-07	4.65488e-07	6.86447e-07	137.298	-2.384749e-11
2.064	266			-3.69038e-07	-6.12349e-08	3.73928e-07	-170.592	-1.940799e-11
2.068	267			-1.546e-07	-3.62054e-08	1.58675e-07	-166.842	-2.179525e-11
2.072	268			-5.28878e-07	5.59496e-07	7.69858e-07	133.38	-2.347059e-11
2.076	269			2.36557e-07	-4.02566e-07	4.66827e-07	-59.556	-2.468506e-11
2.08	270			-5.20846e-07	3.47734e-07	6.26202e-07	146.262	-2.108326e-11
2.084	271			-4.92091e-07	7.27017e-07	8.77775e-07	124.086	-2.359619e-11
2.088	272			-7.07809e-07	-9.33655e-08	7.13862e-07	-172.494	-2.24235e-11
2.092	273			-3.9756e-07	-1.66126e-07	4.30622e-07	-157.326	-2.112517e-11
2.096	274			1.55183e-07	-9.11885e-07	9.24923e-07	-80.334	-2.037129e-11
2.1	275			-2.32948e-07	8.44946e-07	8.76378e-07	105.408	-2.016192e-11
2.104	276			-2.79398e-08	8.93258e-07	8.93608e-07	91.788	-2.552273e-11
2.108	277			8.67181e-07	-1.42959e-07	8.78823e-07	-9.354	-2.401503e-11
2.112	278			4.41216e-08	2.87548e-07	2.90807e-07	81.276	-2.162774e-11
2.116	279			7.37262e-07	2.20375e-07	7.69509e-07	16.644	-2.37637e-11
2.12	280			6.34001e-07	-5.44595e-07	8.35749e-07	-40.656	-2.271668e-11
2.124	281			-7.42384e-07	3.01518e-07	8.01174e-07	157.896	-2.242349e-11
2.128	282			-3.18048e-07	-6.14677e-07	6.91976e-07	-117.354	-2.263291e-11
2.132	283			2.59142e-07	-6.31673e-07	6.82663e-07	-67.686	-2.091576e-11
2.136	284			-3.24102e-07	2.77885e-07	4.26897e-07	139.386	-2.317738e-11
2.14	285			-2.25148e-07	2.44707e-07	3.32368e-07	132.6	-2.464324e-11
2.144	286			1.01515e-07	-7.46459e-07	7.53211e-07	-82.248	-2.070635e-11
2.148	287			-1.78582e-07	-1.3311e-06	1.34297e-06	-97.638	-2.313548e-11
2.152	288			-9.205e-07	-2.94416e-07	9.66254e-07	-162.264	-2.254912e-11
2.156	289			-2.17115e-07	-3.11762e-07	3.79749e-07	-124.854	-2.422439e-11
2.16	290			1.00828e-06	-7.01989e-08	1.01073e-06	-3.984	-2.133455e-11
2.164	291			8.59614e-07	-2.0722e-07	8.84178e-07	-13.554	-2.187906e-11
2.168	292			7.67297e-07	-2.68805e-07	8.13048e-07	-19.302	-2.347052e-11
2.172	293			-2.32482e-07	-1.45054e-07	2.73927e-07	-148.044	-2.552274e-11
2.176	294			-7.32257e-08	-5.90579e-07	5.95002e-07	-97.056	-2.04969e-11
2.18	295			6.14793e-07	-3.52857e-07	7.0874e-07	-29.844	-2.116704e-11
2.184	296			1.28931e-06	4.98843e-07	1.38244e-06	21.15	-2.242351e-11
2.188	297			7.51441e-06	-4.13509e-07	7.52558e-06	-3.15	-2.028753e-11
2.192	298			1.25813e-05	-1.25729e-06	1.26437e-05	-5.706	-2.171151e-11
2.196	299			1.80939e-05	-1.3914e-06	1.81469e-05	-4.398	-2.162774e-11
2.2	300			4.37873e-05	-1.52365e-06	4.38134e-05	-1.986	-1.773273e-11
2.204	301			5.37189e-05	-2.16813e-06	5.37636e-05	-2.31	-2.158585e-11
2.208	302			0.000116408	-4.88016e-06	0.000116505	-2.394	-2.095759e-11
2.212	303			0.000163996	-5.55816e-06	0.000164093	-1.938	-2.514583e-11
2.216	304			0.000227214	-6.61614e-06	0.000227333	-1.662	-1.986871e-11
2.22	305			0.000267448	-8.2553e-06	0.000267567	-1.764	-1.919857e-11
2.224	306			0.000348898	-1.04905e-05	0.000349047	-1.716	-2.137644e-11
2.228	307			0.000434013	-1.43946e-05	0.000434252	-1.896	-2.171147e-11
2.232	308			0.000566307	-1.86564e-05	0.000566665	-1.878	-2.363805e-11
2.236	309			0.000655893	-1.961e-05	0.000656191	-1.71	-2.305169e-11
2.24	310			0.000694577	-2.0981e-05	0.000694875	-1.728	-2.116704e-11
